Team_Name,Games_Won,Year
Team Empire,0,2017
Virtus.pro,1,2017
Team Liquid,2,2017
OG,1,2017
Infamous,0,2017
TNC Pro Team,0,2017
OG,2,2017
iG.Vitality,0,2017
Digital Chaos,1,2017
LGD Gaming,2,2017
Digital Chaos,0,2017
OG,0,2017
LGD Gaming,2,2017
Invictus Gaming,0,2017
LGD Gaming,2,2017
Team Liquid,2,2017
LGD Gaming,0,2017
LGD.Forever Young,1,2017
Team Liquid,2,2017
Newbee,0,2017
Team Liquid,3,2017
Team Liquid,2,2018
OpTic Gaming,0,2018
Virtus.pro,0,2018
PSG.LGD,2,2018
Team Liquid,0,2018
PSG.LGD,2,2018
VGJ.Storm,0,2018
OG,2,2018
Evil Geniuses,2,2018
Team Secret,0,2018
OG,2,2018
Evil Geniuses,1,2018
PSG.LGD,1,2018
OG,2,2018
Fnatic,0,2018
Team Serenity,1,2018
OpTic Gaming,2,2018
Team Serenity,0,2018
TNC Predator,0,2018
Mineski,1,2018
Virtus.pro,2,2018
Mineski,0,2018
OpTic Gaming,1,2018
Virtus.pro,2,2018
Evil Geniuses,2,2018
Virtus.pro,0,2018
Newbee,0,2018
Winstrike Team,1,2018
VGJ.Storm,2,2018
Winstrike Team,0,2018
VGJ.Thunder,0,2018
Vici Gaming,1,2018
Team Secret,2,2018
Vici Gaming,1,2018
VGJ.Storm,0,2018
Team Secret,2,2018
Team Liquid,2,2018
Team Secret,0,2018
Evil Geniuses,2,2018
Team Liquid,0,2018
PSG.LGD,2,2018
Evil Geniuses,0,2018
OG,3,2018
PSG.LGD,2,2018
PSG.LGD,2,2019
Virtus.pro,0,2019
Vici Gaming,2,2019
TNC Predator,1,2019
PSG.LGD,2,2019
Vici Gaming,0,2019
OG,2,2019
Newbee,0,2019
Team Secret,1,2019
Evil Geniuses,2,2019
OG,2,2019
Evil Geniuses,1,2019
PSG.LGD,1,2019
OG,2,2019
Alliance,0,2019
Royal Never Give Up,1,2019
Virtus.pro,0,2019
Royal Never Give Up,2,2019
Fnatic,0,2019
Team Liquid,1,2019
TNC Predator,0,2019
Team Liquid,2,2019
Royal Never Give Up,0,2019
Team Liquid,2,2019
Evil Geniuses,0,2019
Team Liquid,2,2019
Infamous,1,2019
Keen Gaming,0,2019
Newbee,1,2019
Infamous,2,2019
Mineski,1,2019
Natus Vincere,0,2019
Team Secret,2,2019
Mineski,1,2019
Infamous,0,2019
Team Secret,2,2019
Vici Gaming,0,2019
Team Secret,2,2019
Team Liquid,2,2019
Team Secret,0,2019
PSG.LGD,1,2019
Team Liquid,2,2019
OG,3,2019
Team Liquid,1,2019
Invictus Gaming,2,2020
Team Spirit,1,2020
Team Secret,2,2020
OG,0,2020
Invictus Gaming,0,2020
Team Secret,2,2020
PSG.LGD,2,2020
T1,1,2020
Virtus.pro,2,2020
Vici Gaming,1,2020
PSG.LGD,2,2020
Virtus.pro,0,2020
Team Secret,0,2020
PSG.LGD,2,2020
Team Undying,0,2020
Fnatic,1,2020
Team Spirit,2,2020
Fnatic,0,2020
Quincy Crew,1,2020
Team Aster,0,2020
OG,2,2020
Quincy Crew,0,2020
Team Spirit,2,2020
OG,0,2020
Virtus.pro,1,2020
Team Spirit,2,2020
beastcoast,0,2020
Alliance,1,2020
T1,2,2020
Alliance,0,2020
Evil Geniuses,1,2020
Elephant,0,2020
Vici Gaming,2,2020
Evil Geniuses,1,2020
T1,1,2020
Vici Gaming,2,2020
Invictus Gaming,2,2020
Vici Gaming,0,2020
Team Spirit,2,2020
Invictus Gaming,0,2020
Team Secret,1,2020
Team Spirit,2,2020
PSG.LGD,2,2020
Team Spirit,3,2020
Invictus Gaming,2,2021
Team Spirit,1,2021
Team Secret,2,2021
OG,0,2021
Invictus Gaming,0,2021
Team Secret,2,2021
PSG.LGD,2,2021
T1,1,2021
Virtus.pro,2,2021
Vici Gaming,1,2021
PSG.LGD,2,2021
Virtus.pro,0,2021
Team Secret,0,2021
PSG.LGD,2,2021
Team Undying,0,2021
Fnatic,1,2021
Team Spirit,2,2021
Fnatic,0,2021
Quincy Crew,1,2021
Team Aster,0,2021
OG,2,2021
Quincy Crew,0,2021
Team Spirit,2,2021
OG,0,2021
Virtus.pro,1,2021
Team Spirit,2,2021
beastcoast,0,2021
Alliance,1,2021
T1,2,2021
Alliance,0,2021
Evil Geniuses,1,2021
Elephant,0,2021
Vici Gaming,2,2021
Evil Geniuses,1,2021
T1,1,2021
Vici Gaming,2,2021
Invictus Gaming,2,2021
Vici Gaming,0,2021
Team Spirit,2,2021
Invictus Gaming,0,2021
Team Secret,1,2021
Team Spirit,2,2021
PSG.LGD,2,2021
Team Spirit,3,2021
Evil Geniuses,0,2022
Thunder Awaken,2,2022
Team Secret,2,2022
PSG.LGD,0,2022
Thunder Awaken,0,2022
Team Secret,2,2022
Tundra Esports,2,2022
OG,0,2022
Team Liquid,0,2022
Team Aster,2,2022
Tundra Esports,2,2022
Team Aster,0,2022
Team Secret,1,2022
Tundra Esports,2,2022
Hokori,0,2022
beastcoast,1,2022
Evil Geniuses,0,2022
beastcoast,2,2022
Team Spirit,0,2022
BOOM Esports,1,2022
PSG.LGD,2,2022
BOOM Esports,0,2022
beastcoast,1,2022
PSG.LGD,2,2022
Team Aster,2,2022
PSG.LGD,0,2022
Fnatic,0,2022
Gaimin Gladiators,1,2022
OG,2,2022
Gaimin Gladiators,1,2022
Royal Never Give Up,0,2022
Entity,1,2022
Team Liquid,2,2022
Entity,1,2022
OG,0,2022
Team Liquid,2,2022
Thunder Awaken,1,2022
Team Liquid,2,2022
Team Aster,1,2022
Team Liquid,2,2022
Team Secret,2,2022
Team Liquid,1,2022
Tundra Esports,3,2022
Team Secret,0,2022
