Team1,Team1_Score,Team2_Score,Team2,Year
OpTic Gaming,2,0,Team Serenity,2018
TNC Predator,0,1,Mineski,2018
Virtus.pro,2,0,Mineski,2018
OpTic Gaming,1,2,Virtus.pro,2018
Evil Geniuses,2,0,Virtus.pro,2018
Newbee,0,1,Winstrike Team,2018
VGJ.Storm,2,0,Winstrike Team,2018
VGJ.Thunder,0,1,Vici Gaming,2018
Team Secret,2,1,Vici Gaming,2018
VGJ.Storm,0,2,Team Secret,2018
Team Liquid,2,0,Team Secret,2018
Evil Geniuses,2,0,Team Liquid,2018
PSG.LGD,2,0,Evil Geniuses,2018
OG,3,2,PSG.LGD,2018
PSG.LGD,2,0,Virtus.pro,2019
Vici Gaming,2,1,TNC Predator,2019
PSG.LGD,2,0,Vici Gaming,2019
OG,2,0,Newbee,2019
Team Secret,1,2,Evil Geniuses,2019
OG,2,1,Evil Geniuses,2019
PSG.LGD,1,2,OG,2019
Alliance,0,1,Royal Never Give Up,2019
Virtus.pro,0,2,Royal Never Give Up,2019
Fnatic,0,1,Team Liquid,2019
TNC Predator,0,2,Team Liquid,2019
Royal Never Give Up,0,2,Team Liquid,2019
Evil Geniuses,0,2,Team Liquid,2019
Infamous,1,0,Keen Gaming,2019
Newbee,1,2,Infamous,2019
Mineski,1,0,Natus Vincere,2019
Team Secret,2,1,Mineski,2019
Infamous,0,2,Team Secret,2019
Vici Gaming,0,2,Team Secret,2019
Team Liquid,2,0,Team Secret,2019
PSG.LGD,1,2,Team Liquid,2019
OG,3,1,Team Liquid,2019
Invictus Gaming,2,1,Team Spirit,2020
Team Secret,2,0,OG,2020
Invictus Gaming,0,2,Team Secret,2020
PSG.LGD,2,1,T1,2020
Virtus.pro,2,1,Vici Gaming,2020
PSG.LGD,2,0,Virtus.pro,2020
Team Secret,0,2,PSG.LGD,2020
Team Undying,0,1,Fnatic,2020
Team Spirit,2,0,Fnatic,2020
Quincy Crew,1,0,Team Aster,2020
OG,2,0,Quincy Crew,2020
Team Spirit,2,0,OG,2020
Virtus.pro,1,2,Team Spirit,2020
beastcoast,0,1,Alliance,2020
T1,2,0,Alliance,2020
Evil Geniuses,1,0,Elephant,2020
Vici Gaming,2,1,Evil Geniuses,2020
T1,1,2,Vici Gaming,2020
